2017-06-04 01:59:06,288 *********proessing domain[socialblade]*********
2017-06-04 01:59:07,730 processing domain[socialblade] hub [https://socialblade.com/youtube/top/country/us], [6] left
2017-06-04 01:59:47,865 processing detail [https://socialblade.com/youtube/top/country/us], [0] left
2017-06-04 02:00:00,167 processing leve2_url[https://socialblade.com/youtube/user/stromaevevo] , [100] left
2017-06-04 02:00:02,365 processing leve2_url[https://socialblade.com/youtube/user/3doorsdownvevo] , [99] left
2017-06-04 02:00:05,795 processing leve2_url[https://socialblade.com/youtube/user/limpbizkitvevo] , [98] left
2017-06-04 02:00:08,076 processing leve2_url[https://socialblade.com/youtube/user/greenday] , [97] left
2017-06-04 02:00:10,786 processing leve2_url[https://socialblade.com/youtube/user/shakiravevo] , [96] left
2017-06-04 02:00:13,469 processing leve2_url[https://socialblade.com/youtube/user/aerosmithvevo] , [95] left
2017-06-04 02:00:16,055 processing leve2_url[https://socialblade.com/youtube/user/hgjghz9soohvbb0y4doo_w] , [94] left
2017-06-04 02:00:19,976 processing leve2_url[https://socialblade.com/youtube/user/austinmvevo] , [93] left
2017-06-04 02:00:23,545 processing leve2_url[https://socialblade.com/youtube/user/americanauthorsvevo] , [92] left
2017-06-04 02:00:26,908 processing leve2_url[https://socialblade.com/youtube/user/arianagrandevevo] , [91] left
2017-06-04 02:00:30,463 processing leve2_url[https://socialblade.com/youtube/user/luisfonsivevo] , [90] left
2017-06-04 02:01:01,937 processing leve2_url[https://socialblade.com/youtube/user/hindervevo] , [89] left
2017-06-04 02:01:06,835 processing leve2_url[https://socialblade.com/youtube/user/malumavevo] , [88] left
2017-06-04 02:01:12,706 processing leve2_url[https://socialblade.com/youtube/user/katyperryvevo] , [87] left
2017-06-04 02:01:19,177 processing leve2_url[https://socialblade.com/youtube/user/marvel] , [86] left
2017-06-04 02:01:26,092 processing leve2_url[https://socialblade.com/youtube/user/czksf-ncuena8tekigxshq] , [85] left
2017-06-04 02:01:31,046 processing leve2_url[https://socialblade.com/youtube/user/umfpttp-0sdhr4fix4q3uq] , [84] left
2017-06-04 02:01:38,540 processing leve2_url[https://socialblade.com/youtube/user/toyscouter] , [83] left
2017-06-04 02:01:43,892 processing leve2_url[https://socialblade.com/youtube/user/siavevo] , [82] left
2017-06-04 02:01:48,835 processing leve2_url[https://socialblade.com/youtube/user/toypudding] , [81] left
2017-06-04 02:01:54,295 processing leve2_url[https://socialblade.com/youtube/user/wwefannation] , [80] left
2017-06-04 02:02:01,407 processing leve2_url[https://socialblade.com/youtube/user/elektrarecords] , [79] left
2017-06-04 02:02:11,035 processing leve2_url[https://socialblade.com/youtube/user/movieclips] , [78] left
2017-06-04 02:02:18,259 processing leve2_url[https://socialblade.com/youtube/user/chainsmokersvevo] , [77] left
2017-06-04 02:02:22,427 processing leve2_url[https://socialblade.com/youtube/user/popularmmos] , [76] left
2017-06-04 02:02:26,822 processing leve2_url[https://socialblade.com/youtube/user/smosh] , [75] left
2017-06-04 02:02:31,707 processing leve2_url[https://socialblade.com/youtube/user/enriqueiglesiasvevo] , [74] left
2017-06-04 02:02:36,135 processing leve2_url[https://socialblade.com/youtube/user/aarcepx08ygme4yjyjrrlw] , [73] left
2017-06-04 02:02:40,230 processing leve2_url[https://socialblade.com/youtube/user/nodoubtvevo] , [72] left
2017-06-04 02:02:43,052 processing leve2_url[https://socialblade.com/youtube/user/worldstarhiphoptv] , [71] left
2017-06-04 02:02:45,513 processing leve2_url[https://socialblade.com/youtube/user/rtfag-pavcdm7utg4je2ig] , [70] left
2017-06-04 02:02:48,358 processing leve2_url[https://socialblade.com/youtube/user/taylorswiftvevo] , [69] left
2017-06-04 02:03:04,895 processing leve2_url[https://socialblade.com/youtube/user/hwluckn8ttx8nay6sr4opq] , [68] left
2017-06-04 02:03:11,740 processing leve2_url[https://socialblade.com/youtube/user/familyfunpack] , [67] left
2017-06-04 02:03:22,322 processing leve2_url[https://socialblade.com/youtube/user/cnn] , [66] left
2017-06-04 02:03:33,359 processing leve2_url[https://socialblade.com/youtube/user/fridita2] , [65] left
2017-06-04 02:03:40,283 processing leve2_url[https://socialblade.com/youtube/user/gnoix] , [64] left
2017-06-04 02:03:48,951 processing leve2_url[https://socialblade.com/youtube/user/hm5ff2yveiz16ewib081cg] , [63] left
2017-06-04 02:03:58,361 processing leve2_url[https://socialblade.com/youtube/user/jakepaulproductions] , [62] left
2017-06-04 02:04:05,651 processing leve2_url[https://socialblade.com/youtube/user/intellegentz] , [61] left
2017-06-04 02:04:17,187 processing leve2_url[https://socialblade.com/youtube/user/akmcrhxeelggjhoze0xcsw] , [60] left
2017-06-04 02:04:26,372 processing leve2_url[https://socialblade.com/youtube/user/justinbiebervevo] , [59] left
2017-06-04 02:04:38,684 processing leve2_url[https://socialblade.com/youtube/user/3uptheyingyang] , [58] left
2017-06-04 02:04:51,532 processing leve2_url[https://socialblade.com/youtube/user/sexydominicangirls] , [57] left
2017-06-04 02:05:02,151 processing leve2_url[https://socialblade.com/youtube/user/filmsactutrailers] , [56] left
2017-06-04 02:05:09,832 processing leve2_url[https://socialblade.com/youtube/user/_gntqysxu68lrpvjfglmyg] , [55] left
2017-06-04 02:05:15,266 processing leve2_url[https://socialblade.com/youtube/user/cookieswirlc] , [54] left
2017-06-04 02:05:19,730 processing leve2_url[https://socialblade.com/youtube/user/latenight] , [53] left
2017-06-04 02:05:24,407 processing leve2_url[https://socialblade.com/youtube/user/disneymusicvevo] , [52] left
2017-06-04 02:05:28,335 processing leve2_url[https://socialblade.com/youtube/user/fgteev] , [51] left
2017-06-04 02:05:31,608 processing leve2_url[https://socialblade.com/youtube/user/mrwoot] , [50] left
2017-06-04 02:05:34,598 processing leve2_url[https://socialblade.com/youtube/user/charliesvlogs] , [49] left
2017-06-04 02:05:38,499 processing leve2_url[https://socialblade.com/youtube/user/corycotton] , [48] left
2017-06-04 02:05:42,509 processing leve2_url[https://socialblade.com/youtube/user/buzzfeedvideo] , [47] left
2017-06-04 02:05:45,900 processing leve2_url[https://socialblade.com/youtube/user/4-tgosmjhn-lty4zczbqhw] , [46] left
2017-06-04 02:05:49,180 processing leve2_url[https://socialblade.com/youtube/user/theellenshow] , [45] left
2017-06-04 02:05:52,049 processing leve2_url[https://socialblade.com/youtube/user/alltrapnation] , [44] left
2017-06-04 02:05:54,552 processing leve2_url[https://socialblade.com/youtube/user/djkhaledvevo] , [43] left
2017-06-04 02:05:57,005 processing leve2_url[https://socialblade.com/youtube/user/jmah2qxmvwdh3xnpbg0iuq] , [42] left
2017-06-04 02:05:59,473 processing leve2_url[https://socialblade.com/youtube/user/anjellyka415] , [41] left
2017-06-04 02:06:01,540 processing leve2_url[https://socialblade.com/youtube/user/fueledbyramen] , [40] left
2017-06-04 02:06:04,127 processing leve2_url[https://socialblade.com/youtube/user/rickymartinvevo] , [39] left
2017-06-04 02:06:06,496 processing leve2_url[https://socialblade.com/youtube/user/jasonderulo] , [38] left
2017-06-04 02:06:20,170 processing leve2_url[https://socialblade.com/youtube/user/markipliergame] , [37] left
2017-06-04 02:06:22,480 processing leve2_url[https://socialblade.com/youtube/user/mdalahbmdjft65eyi50zzq] , [36] left
2017-06-04 02:06:25,710 processing leve2_url[https://socialblade.com/youtube/user/lgopkme9pyo3gdzwwrjwqa] , [35] left
2017-06-04 02:06:30,092 processing leve2_url[https://socialblade.com/youtube/user/maroon5vevo] , [34] left
2017-06-04 02:06:38,155 processing leve2_url[https://socialblade.com/youtube/user/_c4psnfx-zycuxa_vlxpiq] , [33] left
2017-06-04 02:06:44,657 processing leve2_url[https://socialblade.com/youtube/user/qvs0uzpsh8ydvq7txgnojw] , [32] left
2017-06-04 02:06:54,717 processing leve2_url[https://socialblade.com/youtube/user/s12iihd_ijkxwpi-zxya8q] , [31] left
2017-06-04 02:07:02,401 processing leve2_url[https://socialblade.com/youtube/user/futurevevo] , [30] left
2017-06-04 02:07:07,676 processing leve2_url[https://socialblade.com/youtube/user/retrorecuerdos] , [29] left
2017-06-04 02:07:10,861 processing leve2_url[https://socialblade.com/youtube/user/gunsnrosesvevo] , [28] left
2017-06-04 02:07:15,105 processing leve2_url[https://socialblade.com/youtube/user/g8rbf3g2amx70yod8vqizg] , [27] left
2017-06-04 02:07:18,868 processing leve2_url[https://socialblade.com/youtube/user/crazyworldnews4you] , [26] left
2017-06-04 02:07:22,405 processing leve2_url[https://socialblade.com/youtube/user/buzzfeedyellow] , [25] left
2017-06-04 02:07:26,138 processing leve2_url[https://socialblade.com/youtube/user/aynakoitsroi] , [24] left
2017-06-04 02:07:29,834 processing leve2_url[https://socialblade.com/youtube/user/taylorgangent] , [23] left
