RANK	SB SCORE	USER	NETWORK	WEBSITE	SUBSCRIBERS	VIDEO VIEWS
1	5	A++	Ed Sheeran	https://socialblade.com/youtube/user/edsheeran	15,520,469	6,049,515,220
2	21	A+	LittleBabyBum ®	https://socialblade.com/youtube/user/littlebabybum	10,338,116	12,084,518,011
3	25	A+	Emily Tube	https://socialblade.com/youtube/user/-0d1rlszcvboodcksoll2g	2,961,961	2,198,886,458
4	43	A+	Clean Bandit	https://socialblade.com/youtube/user/cleanbandit	2,606,131	1,548,177,391
5	63	A	Toys AndMe	https://socialblade.com/youtube/user/6sskkemzpjmrzs0y0v_2zw	4,890,934	3,271,638,846
6	64	A	DanTDM	https://socialblade.com/youtube/user/thediamondminecart	14,811,245	9,781,667,654
7	78	A	PewDiePie	https://socialblade.com/youtube/user/pewdiepie	54,723,382	15,078,688,872
8	138	A	SevenSuperGirls	https://socialblade.com/youtube/user/sevensupergirls	6,525,150	7,121,376,860
9	140	A	Coldplay Official	https://socialblade.com/youtube/user/coldplayvevo	8,869,445	5,459,453,304
10	156	A	NoCopyrightSounds	https://socialblade.com/youtube/user/nocopyrightsounds	10,693,953	2,629,322,552
11	186	A	DisneyJuniorUK	https://socialblade.com/youtube/user/disneyjunioruk	3,056,389	3,897,631,835
12	191	A	Britain's Got Talent	https://socialblade.com/youtube/user/britainsgottalent09	7,290,645	5,054,239,211
13	192	A	MAZ	https://socialblade.com/youtube/user/themazzimaz	699,866	28,067,582
14	198	A	littlemixVEVO	https://socialblade.com/youtube/user/littlemixvevo	6,478,526	2,138,811,721
15	262	A	AdeleVEVO	https://socialblade.com/youtube/user/adelevevo	14,485,214	5,701,494,196
16	272	A	Gorillaz	https://socialblade.com/youtube/user/gorillaz	1,850,597	625,940,276
17	278	A	W2S	https://socialblade.com/youtube/user/wroetoshaw	10,006,565	2,542,682,909
18	298	A	Jelly	https://socialblade.com/youtube/user/jellyyt	6,215,009	1,895,644,768
19	320	A	Masha and The Bear	https://socialblade.com/youtube/user/mashabearen	1,770,334	1,062,640,410
20	373	A	stampylonghead	https://socialblade.com/youtube/user/stampylonghead	8,436,554	5,953,043,935
21	385	A	WOW ENGLISH TV	https://socialblade.com/youtube/user/x1xhxqyzr4tt6pmxo0khbq	626,222	440,656,448
22	415	A	sassygal2007	https://socialblade.com/youtube/user/sassygal2007	12,600	17,813,720
23	424	A	Barcroft TV	https://socialblade.com/youtube/user/barcroftmedia	2,818,613	2,563,647,916
24	445	A	SevenPerfectAngels	https://socialblade.com/youtube/user/sevenperfectangels	2,175,888	1,933,036,382
25	470	A	OneDirectionVEVO	https://socialblade.com/youtube/user/onedirectionvevo	21,874,553	7,221,485,750
26	482	A	CheekSpear Animations	https://socialblade.com/youtube/user/rqeif5n_yyqc9jnrnejwoa	189,236	185,869,043
27	504	A	BBC	https://socialblade.com/youtube/user/bbc	3,701,263	3,813,835,220
28	527	A	DisneyChannelUK	https://socialblade.com/youtube/user/disneychanneluk	1,782,556	1,764,179,462
29	538	A	Toy Kingdom	https://socialblade.com/youtube/user/toykingdom	186,911	119,628,483
30	544	A	Sing King Karaoke	https://socialblade.com/youtube/user/singkingkaraoke	2,618,252	1,164,103,090
31	552	A	Queen Official	https://socialblade.com/youtube/user/queenofficial	2,872,285	1,869,567,524
32	557	A	Got Talent Global	https://socialblade.com/youtube/user/gottalentglobal	1,235,774	495,718,057
33	619	A	Elsa's Toys & Crafts	https://socialblade.com/youtube/user/cpjp3x19diqqjyfsi4vhgw	353,542	184,723,546
34	633	A	ComedyShortsGamer	https://socialblade.com/youtube/user/comedyshortsgamer	8,056,044	2,534,859,272
35	730	A	Surprise Collector & Sunshine	https://socialblade.com/youtube/user/surprisecollector	1,880,511	1,595,709,516
36	748	A	miniminter	https://socialblade.com/youtube/user/miniminter	5,870,980	1,713,597,134
37	769	A	ToyTrains4u	https://socialblade.com/youtube/user/ianrphillips	2,492,103	3,454,561,072
38	774	A	The X Factor UK	https://socialblade.com/youtube/user/thexfactoruk	5,439,433	4,407,211,189
39	783	A	Kiddyzuzaa	https://socialblade.com/youtube/user/kiddyzuzaa	1,699,358	1,842,174,609
40	824	A	SevenAwesomeKids	https://socialblade.com/youtube/user/sevenawesomekids	1,604,920	1,274,061,362
41	831	A	Ben Phillips	https://socialblade.com/youtube/user/benphillipsuk	2,505,516	368,336,551
42	859	A	KidsTV123	https://socialblade.com/youtube/user/kidstv123	2,092,791	2,742,105,606
43	871	A	Passenger	https://socialblade.com/youtube/user/passengermusic	3,122,545	1,666,948,103
44	898	A	Disney UK	https://socialblade.com/youtube/user/waltdisneystudiosuk	2,577,356	2,083,077,459
45	910	A	Surprise Egg And Toy Collector	https://socialblade.com/youtube/user/toysurprisecollector	277,207	219,969,106
46	914	A	GameSprout	https://socialblade.com/youtube/user/gamesprout	1,958,574	600,074,381
