RANK	SB SCORE	USER	NETWORK	WEBSITE	SUBSCRIBERS	VIDEO VIEWS
1	80	A	Fischer's-フィッシャーズ-	https://socialblade.com/youtube/user/masaiandhamzael	2,407,804	1,654,271,925
2	181	A	HikakinTV	https://socialblade.com/youtube/user/hikakintv	4,088,994	3,163,817,700
3	183	A	ヒカル（Hikaru）	https://socialblade.com/youtube/user/aminwg9mto4slyec3s6uda	1,792,885	570,846,956
4	236	A	キッズライン♡Kids Line	https://socialblade.com/youtube/user/runway19co	1,494,022	2,843,529,798
5	271	A	プリンセス姫スイートＴＶ Princess Hime Suite TV	https://socialblade.com/youtube/user/princesshimesuitetv	484,690	1,144,904,156
6	301	A	avex	https://socialblade.com/youtube/user/avexnetwork	3,273,193	4,456,619,822
7	314	A	HikakinGames	https://socialblade.com/youtube/user/hikakingames	2,777,331	2,241,211,253
8	336	A	水溜りボンド	https://socialblade.com/youtube/user/pojlndjoqmoffa-fr8cbka	1,682,900	777,608,487
9	431	A	すしらーめん《りく》	https://socialblade.com/youtube/user/ljyhfazflmgadr5lo90kma	798,284	156,111,455
10	435	A	Kan & Aki's CHANNEL	https://socialblade.com/youtube/user/potemi926	1,595,233	3,635,387,309
11	492	A	桐崎栄二/きりざきえいじ	https://socialblade.com/youtube/user/kirizakieizi	1,651,248	541,055,224
12	570	A	Dream English Kids	https://socialblade.com/youtube/user/dreamenglishkids	574,573	473,278,154
13	595	A	東海オンエア	https://socialblade.com/youtube/user/tokaionair	1,660,593	791,302,121
14	597	A	ポッキー / PockySweets	https://socialblade.com/youtube/user/pockysweets	1,392,835	1,115,309,615
15	711	A	ボンボンTV	https://socialblade.com/youtube/user/6vsfahybr-bhner7dxxgnq	649,093	623,881,678
16	716	A	たくっち	https://socialblade.com/youtube/user/takuxtuti0502	629,872	724,177,820
17	749	A	SeikinTV	https://socialblade.com/youtube/user/seikintv	2,238,568	1,599,891,530
18	802	A	兄者弟者	https://socialblade.com/youtube/user/norunine	1,595,071	1,212,757,438
19	817	A	木下ゆうか Yuka Kinoshita	https://socialblade.com/youtube/user/kinoyuu0204	2,943,362	929,271,459
20	886	A	おるたなChannel	https://socialblade.com/youtube/user/torokerotv	911,297	519,353,706
21	912	A	はじめしゃちょー（hajime）	https://socialblade.com/youtube/user/0214mex	4,968,249	3,620,263,996
