RANK	SB SCORE	USER	NETWORK	WEBSITE	SUBSCRIBERS	VIDEO VIEWS
1	66	A	1theK (원더케이)	https://socialblade.com/youtube/user/loenent	6,280,991	5,605,390,281
2	128	A	SMTOWN	https://socialblade.com/youtube/user/smtown	10,238,337	6,185,113,024
3	183	A	KBS World TV	https://socialblade.com/youtube/user/kbsworld	3,761,991	2,446,248,651
4	209	A	Mnet Official	https://socialblade.com/youtube/user/playmnet	1,345,723	929,091,211
5	231	A	jypentertainment	https://socialblade.com/youtube/user/jypentertainment	4,015,759	1,949,610,177
6	238	A	CJENMMUSIC Official	https://socialblade.com/youtube/user/cjenmmusic	2,483,532	2,125,186,367
7	301	A	Pinkfong! Kids' Songs & Stories	https://socialblade.com/youtube/user/smartbooksmedia	1,426,868	1,304,633,201
8	343	A	1MILLION Dance Studio	https://socialblade.com/youtube/user/w8zhlpdq0u_y-tlkd61hga	5,288,675	1,178,379,944
9	436	A	Mnet K-POP	https://socialblade.com/youtube/user/mnet	4,059,474	2,347,768,740
10	497	A	뽀로로(Pororo)	https://socialblade.com/youtube/user/pororotv	1,818,118	2,285,131,563
11	508	A	BIGBANG	https://socialblade.com/youtube/user/bigbang	7,154,458	3,472,082,196
12	514	A	JFlaMusic	https://socialblade.com/youtube/user/jflamusic	1,081,184	179,026,017
13	549	A	MBCentertainment	https://socialblade.com/youtube/user/mbcentertainment	2,328,319	2,979,548,505
14	599	A	ibighit	https://socialblade.com/youtube/user/ibighit	3,656,425	611,490,699
15	637	A	JTBC Entertainment	https://socialblade.com/youtube/user/jtbcentertainment	900,414	1,422,531,930
16	640	A	JTBC Drama	https://socialblade.com/youtube/user/jtbcdrama	328,591	458,619,732
17	658	A	MBCkpop	https://socialblade.com/youtube/user/mbckpop	3,111,294	2,603,923,258
18	662	A	도티 TV	https://socialblade.com/youtube/user/tvddotty	1,687,665	1,183,984,161
19	694	A	YTN NEWS	https://socialblade.com/youtube/user/ytnnews24	234,166	613,318,745
20	727	A	ALL THE K-POP	https://socialblade.com/youtube/user/imbcevery1	989,788	481,004,487
21	739	A	officialpsy	https://socialblade.com/youtube/user/officialpsy	9,831,141	5,863,957,456
22	740	A	Cartoon Games & Surprise Toys	https://socialblade.com/youtube/user/aozgduyouspog6dyqf0agq	489,760	234,460,526
23	793	A	Larva TUBA	https://socialblade.com/youtube/user/larva2011ani	905,379	566,219,390
24	807	A	WINNER	https://socialblade.com/youtube/user/officialygwinner	1,050,558	213,417,859
25	826	A	ToyMart TV	https://socialblade.com/youtube/user/bwpysyjx1-7uvfow3lklqw	738,359	340,053,149
26	829	A	TV-People	https://socialblade.com/youtube/user/tvpeopleclips	596,698	785,020,304
