RANK	SB SCORE	USER	NETWORK	WEBSITE	SUBSCRIBERS	VIDEO VIEWS
1	3	A++	Ryan ToysReview	https://socialblade.com/youtube/user/hgjghz9soohvbb0y4doo_w	7,353,532	11,702,380,157
2	7	A++	WWE	https://socialblade.com/youtube/user/wwefannation	15,645,572	14,457,085,277
3	9	A++	ToyScouter	https://socialblade.com/youtube/user/toyscouter	5,774,542	4,199,231,397
4	10	A++	LuisFonsiVEVO	https://socialblade.com/youtube/user/luisfonsivevo	3,947,857	1,938,450,077
5	12	A+	[토이푸딩] ToyPudding TV	https://socialblade.com/youtube/user/toypudding	5,451,923	5,013,217,248
6	16	A+	ChainsmokersVEVO	https://socialblade.com/youtube/user/chainsmokersvevo	8,681,220	3,998,485,006
7	17	A+	Toy Freaks	https://socialblade.com/youtube/user/3uptheyingyang	6,145,918	5,129,281,656
8	22	A+	KatyPerryVEVO	https://socialblade.com/youtube/user/katyperryvevo	21,952,664	11,530,959,927
9	28	A+	Movieclips	https://socialblade.com/youtube/user/movieclips	4,864,539	6,282,062,033
10	29	A+	Superhero Fun Factory	https://socialblade.com/youtube/user/hwluckn8ttx8nay6sr4opq	4,072,006	2,487,072,810
11	30	A+	shakiraVEVO	https://socialblade.com/youtube/user/shakiravevo	13,274,975	9,057,048,142
12	31	A+	Bruno Mars	https://socialblade.com/youtube/user/elektrarecords	14,304,705	5,878,692,529
13	33	A+	pingu netwok	https://socialblade.com/youtube/user/pingunetwok	129,106	96,248,647
14	35	A+	Freak Family Vlogs	https://socialblade.com/youtube/user/crazyworldnews4you	2,816,189	1,910,831,358
15	37	A+	BuzzFeedVideo	https://socialblade.com/youtube/user/buzzfeedvideo	12,274,887	9,692,791,672
16	38	A+	Family Fun Pack	https://socialblade.com/youtube/user/familyfunpack	5,093,088	9,214,626,109
17	40	A+	JustinBieberVEVO	https://socialblade.com/youtube/user/justinbiebervevo	28,511,150	14,913,016,289
18	42	A+	TheEllenShow	https://socialblade.com/youtube/user/theellenshow	19,506,088	8,591,298,771
19	44	A+	EnriqueIglesiasVEVO	https://socialblade.com/youtube/user/enriqueiglesiasvevo	10,396,261	7,972,033,893
20	45	A+	WORLDSTARHIPHOP	https://socialblade.com/youtube/user/worldstarhiphoptv	5,091,150	3,388,082,284
21	49	A+	PopularMMOs	https://socialblade.com/youtube/user/popularmmos	11,341,935	8,228,953,549
22	50	A+	TaylorSwiftVEVO	https://socialblade.com/youtube/user/taylorswiftvevo	22,018,943	11,236,501,908
23	52	A	DisneyMusicVEVO	https://socialblade.com/youtube/user/disneymusicvevo	5,642,048	3,142,244,012
24	53	A	Trap Nation	https://socialblade.com/youtube/user/alltrapnation	13,344,867	4,449,770,107
25	54	A	FGTeeV	https://socialblade.com/youtube/user/fgteev	3,329,626	3,748,615,284
26	56	A	ToyMonster	https://socialblade.com/youtube/user/lgopkme9pyo3gdzwwrjwqa	3,548,872	1,989,760,276
27	57	A	Vlad CrazyShow	https://socialblade.com/youtube/user/umfpttp-0sdhr4fix4q3uq	1,722,733	934,538,745
28	58	A	Jake Paul	https://socialblade.com/youtube/user/jakepaulproductions	4,494,083	460,829,618
29	61	A	MalumaVEVO	https://socialblade.com/youtube/user/malumavevo	7,858,840	4,955,032,580
30	67	A	Saturday Night Live	https://socialblade.com/youtube/user/saturdaynightlive	4,064,863	2,448,151,008
31	76	A	CookieSwirlC	https://socialblade.com/youtube/user/cookieswirlc	4,355,712	5,095,837,628
32	77	A	Markiplier	https://socialblade.com/youtube/user/markipliergame	17,166,484	7,091,750,051
33	79	A	Fueled By Ramen	https://socialblade.com/youtube/user/fueledbyramen	7,993,036	7,292,005,383
34	80	A	McQueen Songs	https://socialblade.com/youtube/user/_c4psnfx-zycuxa_vlxpiq	--	883,061,802
35	83	A	CalvinHarrisVEVO	https://socialblade.com/youtube/user/calvinharrisvevo	10,881,318	6,994,967,760
36	87	A	Disney Channel Central	https://socialblade.com/youtube/user/6ifpyvlxmc77wzbmxjog2g	132,548	45,805,515
37	94	A	Kids TV Surprise	https://socialblade.com/youtube/user/pwowri-jcvcf5r9ivpptaa	--	431,423,428
38	95	A	Maroon5VEVO	https://socialblade.com/youtube/user/maroon5vevo	13,144,299	7,113,882,161
39	101	A	Guava Juice	https://socialblade.com/youtube/user/aynakoitsroi	5,795,465	1,989,050,254
40	105	A	ArianaGrandeVevo	https://socialblade.com/youtube/user/arianagrandevevo	16,311,164	6,816,719,362
41	106	A	PomPomToys	https://socialblade.com/youtube/user/s12iihd_ijkxwpi-zxya8q	3,640,424	2,268,439,504
42	107	A	Dude Perfect	https://socialblade.com/youtube/user/corycotton	17,706,197	2,897,965,166
43	108	A	Movieclips Trailers	https://socialblade.com/youtube/user/movieclipstrailers	10,921,618	8,110,015,474
44	110	A	Luvs Diapers	https://socialblade.com/youtube/user/luvsdiapers	18,161	55,329,515
45	112	A	RickyMartinVEVO	https://socialblade.com/youtube/user/rickymartinvevo	3,152,404	2,807,438,770
46	114	A	SonyMusicIndiaVEVO	https://socialblade.com/youtube/user/sonymusicindiavevo	2,733,055	1,963,317,395
47	116	A	TheRichest	https://socialblade.com/youtube/user/dxi8d8qrsryui2eryjyb-w	7,470,046	3,954,910,106
48	119	A	FUNnel Vision	https://socialblade.com/youtube/user/intellegentz	2,862,083	3,082,674,371
49	122	A	Boldly	https://socialblade.com/youtube/user/buzzfeedyellow	7,801,220	7,061,689,665
50	125	A	Fantastic Cartoons	https://socialblade.com/youtube/user/rtvxe47k1dsjgsaghbly2a	561,530	256,684,755
51	130	A	EminemVEVO	https://socialblade.com/youtube/user/eminemvevo	21,694,902	8,417,776,409
52	134	A	Yippee Toys	https://socialblade.com/youtube/user/iw97iyd9cbayr00d94v3tg	2,275,677	1,345,677,223
53	136	A	Inside Edition	https://socialblade.com/youtube/user/cbstvdinsideedition	900,127	1,405,621,185
54	137	A	Ultra Music	https://socialblade.com/youtube/user/ultrarecords	8,288,208	6,099,648,008
55	143	A	FRESH	https://socialblade.com/youtube/user/filmsactutrailers	2,599,250	2,919,213,983
56	145	A	ShawnMendesVEVO	https://socialblade.com/youtube/user/4-tgosmjhn-lty4zczbqhw	7,636,446	2,612,062,494
57	146	A	Wiz Khalifa	https://socialblade.com/youtube/user/taylorgangent	10,833,637	5,902,157,301
58	147	A	RihannaVEVO	https://socialblade.com/youtube/user/rihannavevo	24,530,548	11,112,808,722
59	151	A	DramaFever	https://socialblade.com/youtube/user/dramafever	1,689,037	1,212,950,831
60	157	A	DCTC Toy Channel	https://socialblade.com/youtube/user/matercarclub	7,327,489	6,486,339,580
61	159	A	RomanAtwoodVlogs	https://socialblade.com/youtube/user/romanatwoodvlogs	12,153,384	3,411,368,363
62	161	A	Charlie Puth	https://socialblade.com/youtube/user/charliesvlogs	5,889,224	2,132,433,491
63	162	A	Morphle TV	https://socialblade.com/youtube/user/magicpetssongs4kids	1,714,277	1,378,503,942
64	165	A	Reaction Time	https://socialblade.com/youtube/user/hm5ff2yveiz16ewib081cg	5,294,778	878,465,857
65	169	A	KendrickLamarVEVO	https://socialblade.com/youtube/user/kendricklamarvevo	2,495,422	721,353,555
66	170	A	Toys Unlimited	https://socialblade.com/youtube/user/zidymdattswucgczyzvn6w	2,025,551	1,523,460,083
67	180	A	Rclbeauty101	https://socialblade.com/youtube/user/rclbeauty101	11,712,875	2,079,085,598
68	184	A	Craaazy Toys	https://socialblade.com/youtube/user/rc9lfqv4-pfnevww1pfhha	--	487,125,207
69	187	A	DEL Records	https://socialblade.com/youtube/user/delrecords	2,476,630	1,984,962,029
70	188	A	beyonceVEVO	https://socialblade.com/youtube/user/beyoncevevo	12,042,827	6,830,301,638
71	189	A	RaeSremmurdVEVO	https://socialblade.com/youtube/user/raesremmurdvevo	4,387,325	1,959,796,125
72	193	A	Nao DisneyToys	https://socialblade.com/youtube/user/naodisneytoys	3,415,613	2,717,053,949
73	195	A	FifthHarmonyVEVO	https://socialblade.com/youtube/user/fifthharmonyvevo	8,830,734	4,224,983,589
74	196	A	Fun Toys Collector Disney Toys Review	https://socialblade.com/youtube/user/disneycollectorbr	9,072,794	12,737,615,299
75	197	A	ChrisBrownVEVO	https://socialblade.com/youtube/user/chrisbrownvevo	10,233,932	5,300,867,770
76	199	A	Aaron DeBoer	https://socialblade.com/youtube/user/amd0777	2,729,588	2,073,927,357
77	203	A	Migos ATL	https://socialblade.com/youtube/user/migosatl	1,650,256	710,773,425
78	205	A	Kids TV - Nursery Rhymes And Children’s Songs	https://socialblade.com/youtube/user/7pq3ko42ypkcb_q4e981jw	3,635,040	3,550,018,341
79	206	A	TheTalko	https://socialblade.com/youtube/user/1ydgfp2x8olyg66kzhxs1g	3,044,679	1,115,697,436
80	207	A	Logan Paul Vlogs	https://socialblade.com/youtube/user/g8rbf3g2amx70yod8vqizg	4,028,852	356,277,797
81	211	A	Spiderman Frozen Elsa & Friends	https://socialblade.com/youtube/user/aeyn3nppkt7469wyynzjcg	--	380,065,389
82	213	A	David Guetta	https://socialblade.com/youtube/user/davidguettavevo	13,380,496	7,949,639,720
83	215	A	✿ Kids Diana Show	https://socialblade.com/youtube/user/k8gzjmorta8yxdckfyljyw	1,525,072	1,839,137,820
84	217	A	Atlantic Records	https://socialblade.com/youtube/user/atlanticvideos	5,735,260	5,278,493,693
85	218	A	Neo-Saban Power Rangers	https://socialblade.com/youtube/user/prsamuraicast	1,493,376	2,362,976,937
86	219	A	MeghanTrainorVEVO	https://socialblade.com/youtube/user/meghantrainorvevo	7,878,757	4,173,379,674
87	220	A	KygoOfficialVEVO	https://socialblade.com/youtube/user/kygoofficialvevo	1,893,071	825,781,695
88	221	A	SiaVEVO	https://socialblade.com/youtube/user/siavevo	8,608,037	4,949,551,477
89	226	A	FBE	https://socialblade.com/youtube/user/thefinebros	15,213,082	5,081,499,825
90	230	A	The Tonight Show Starring Jimmy Fallon	https://socialblade.com/youtube/user/latenight	13,481,901	6,895,117,519
91	232	A	DisneyCarToys	https://socialblade.com/youtube/user/disneycartoys	5,119,934	6,803,442,845
92	236	A	HobbyKidsTV	https://socialblade.com/youtube/user/hobbykidstv	2,380,608	4,668,765,631
93	239	A	Jimmy Kimmel Live	https://socialblade.com/youtube/user/jimmykimmellive	9,207,259	4,403,443,665
94	243	A	Fun Place	https://socialblade.com/youtube/user/m-fc_gof2_u62yk5yhc_ma	282,698	130,828,948
95	245	A	KIDS 312	https://socialblade.com/youtube/user/playdohplaydoh	--	1,211,955,503
96	247	A	SonyMusicSouthVEVO	https://socialblade.com/youtube/user/sonymusicsouthvevo	1,271,213	1,400,973,030
97	249	A	Linkin Park	https://socialblade.com/youtube/user/linkinparktv	7,715,265	3,530,198,558
98	258	A	David Dobrik	https://socialblade.com/youtube/user/mh5gdwcx6ln7gec20lenva	3,486,027	763,854,475
99	260	A	Wish Shopping	https://socialblade.com/youtube/user/s0v-1jltav3iihfzhcdhfg	45,707	150,660,917
100	263	A	Marvel Entertainment	https://socialblade.com/youtube/user/marvel	3,733,710	1,106,613,635
